CS_410	1.0
CS_410	1.0
ECE_428	0.5143100153002036
CS_425	0.5013870128270264
CS_447	0.45184973772691545
ECE_448	0.4119907714068175
CS_361	0.3921480311178308
CS_446	0.38098198518148524
STAT_432	0.36001535169753673
CS_440	0.34134366665290533
BIOE_202	0.32887236660630126
CS_000	0.326022720641429
STAT_420	0.32012382878928325
STAT_107	0.31774898588743467
STAT_400	0.3125395673645427
CS_598	0.31094256717335367
IE_300	0.3075740931262749
STAT_510	0.2970690685394648
STAT_212	0.2594606681448854
CS_498	0.20191596489156244
STAT_430	0.18875621253716382
CS_101	0.17875093286469615
CS_296	0.16204669705690578
CS_242	0.15945655058468805
Example_400	0.1478215831562905
CS_428	0.14698186987399287
BIOE_360	0.1397406569603165
CS_473	0.1360554237449553
STAT_385	0.13316903911305866
Computer-Science_CS	0.12888005519473336
CS_357	0.11878349660148994
STAT_447	0.1154327621909596
CS_450	0.11528703660202475
CS_591	0.11059975273421775
CS_600	0.10864667363525488
CS_173	0.1080653784942191
CS_418	0.1070411528556868
CS_125	0.10622928881331392
MATH_450	0.10580223632261643
ADV_582	0.10405648610659925
CS_477	0.09827334404860663
CS_105	0.097108090995779
CS_374	0.09355128559714224
CS_277	0.08875122690913674
ADV_482	0.08858277079397997
CS_438	0.08227586250099403
ADV_476	0.0799756065884715
CS_241	0.07849384011078038
ECE_438	0.07720186078437265
ECE_491	0.07639296097781367
ADV_393	0.07295176175999667
CS_439	0.07128271923426141
CS_225	0.07000129720558033
BADM_584	0.06927269874752894
CIS_457	0.06468868449382165
CS_483	0.06155535712338323
SBC_507	0.061481081790695835
ECE_408	0.06009022270537124
PUB_000	0.059013818370351336
DRES_ONLINE	0.05786870462457094
CIS_241	0.05610018043023513
CS_233	0.05447935959102187
BIOE_000	0.05437540604214184
IS_107	0.04352625731022653
ECE_110	0.03988296716870476
CIS_351	0.03847635075383528
ISE_526	0.026597289755114165
CS_491	0.026277578881461525
IS_424	0.02517379430656271
CS_107	0.0206659407098314
